name,order,ISO2_code,theme,theme_timber,use_for_risk,use_for_risk_timber,exclude_from_output,col_type,is_nullable,is_required,corresponding_variable,use_for_risk_cattle
EUFO_2020,10,,treecover,naturally_reg_2020,1,1,0,float32,1,0,g_jrc_gfc_2020_prep,1
GLAD_Primary,20,,treecover,primary,1,1,0,float32,1,0,g_glad_pht_prep,1
TMF_undist,30,,treecover,primary,1,1,0,float32,1,0,g_jrc_tmf_undisturbed_prep,1
GFC_TC_2020,40,,treecover,naturally_reg_2020,0,0,0,float32,1,0,g_glad_gfc_10pc_prep,0
Forest_FDaP,50,,treecover,naturally_reg_2020,0,0,0,float32,1,0,g_glad_gfc_10pc_prep,0
ESA_TC_2020,60,,treecover,naturally_reg_2020,0,0,0,float32,1,0,g_esa_worldcover_trees_prep,0
TMF_plant,70,,commodities,,1,1,0,float32,1,0,g_jrc_tmf_plantation_prep,0
Oil_palm_Descals,80,,commodities,,1,1,0,float32,1,0,g_creaf_descals_palm_prep,0
Oil_palm_FDaP,90,,commodities,,0,0,0,float32,1,0,g_fdap_palm_prep,0
Coffee_FDaP,100,,commodities,,0,0,0,float32,1,0,g_fdap_coffee_2020_prep,0
Cocoa_FDaP,110,,commodities,,0,0,0,float32,1,0,g_fdap_cocoa_prep,0
Cocoa_ETH,120,,commodities,,1,1,0,float32,1,0,g_eth_kalischek_cocoa_prep,0
Rubber_FDaP,130,,commodities,,0,0,0,float32,1,0,g_fdap_rubber_prep,0
Rubber_RBGE,140,,commodities,,1,1,0,float32,1,0,g_rbge_rubber_prep,0
Soy_Song_2020,150,,commodities,,1,1,0,float32,1,0,g_soy_song_2020_prep,0
TMF_def_2000,160,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2001,170,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2002,180,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2003,190,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2004,200,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2005,210,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2006,220,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2007,230,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2008,240,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2009,250,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2010,260,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2011,270,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2012,280,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2013,290,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2014,300,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2015,310,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2016,320,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2017,330,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2018,340,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2019,350,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2020,360,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2021,370,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2022,380,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2023,390,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2024,400,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_def_2025,405,,disturbance_before,,0,0,0,float32,1,0,g_tmf_def_per_year_prep,0
TMF_deg_2000,410,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2001,420,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2002,430,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2003,440,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2004,450,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2005,460,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2006,470,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2007,480,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2008,490,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2009,500,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2010,510,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2011,520,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2012,530,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2013,540,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2014,550,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2015,560,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2016,570,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2017,580,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2018,590,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2019,600,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2020,610,,disturbance_before,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2021,620,,disturbance_after,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2022,630,,disturbance_after,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2023,640,,disturbance_after,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2024,650,,disturbance_after,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
TMF_deg_2025,655,,disturbance_after,,0,0,0,float32,1,0,g_tmf_deg_per_year_prep,0
GFC_loss_year_2001,660,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2002,670,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2003,680,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2004,690,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2005,700,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2006,710,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2007,720,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2008,730,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2009,740,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2010,750,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2011,760,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2012,770,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2013,780,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2014,790,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2015,800,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2016,810,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
GFC_loss_year_2017,820,,disturbance_before,,0,0,0,float32,1,0,g_glad_gfc_loss_per_year_prep,0
