fid,Country
105,IDN
113,IOT
118,ISR
119,ITA
122,JOR
125,KEN
127,KHM
133,LBN
134,LBR
135,LBY
139,LSO
144,MAR
145,MCO
147,MDG
148,MDV
151,MKD
152,MLI
153,MLT
155,MNE
158,MOZ
159,MRT
162,MUS
163,MWI
165,MYT
166,NAM
168,NER
170,NGA
190,PRT
192,PSE
48,CIV
49,CMR
50,COD
51,COG
54,COM
55,CPV
59,CXR
61,CYP
64,DJI
68,DZA
70,EGY
71,ERI
72,ESH
73,ESP
75,ETH
79,FRA
82,GAB
86,GHA
87,GIB
88,GIN
90,GMB
91,GNB
92,GNQ
93,GRC
102,HRV
195,REU
198,RWA
200,SDN
201,SEN
204,SHN
207,SLE
209,SMR
210,SOM
212,SRB
213,SSD
214,STP
219,SWZ
221,SYC
224,TCD
225,TGO
226,THA
230,TLS
233,TUN
237,TZA
238,UGA
244,VAT
253,XAD
256,XKO
260,ZAF
261,ZMB
262,ZNC
263,ZWE
3,AGO
6,ALB
7,AND
13,ATF
15,AUS
18,BDI
20,BEN
22,BFA
24,BGR
27,BIH
33,BRA
38,BWA
39,CAF
41,CCK
107,IND
108,Z01
109,Z04
110,Z05
111,Z07
112,Z09
115,IRN
116,IRQ
124,KAZ
126,KGZ
130,KOR
131,KWT
132,LAO
138,LKA
140,LTU
142,LVA
146,MDA
154,MMR
156,MNG
164,MYS
174,NOR
175,NPL
178,OMN
179,PAK
180,Z06
184,PHL
185,PLW
44,CHN
45,Z02
46,Z03
47,Z08
66,DNK
74,EST
76,FIN
84,GEO
194,QAT
196,ROU
197,RUS
199,SAU
202,SGP
205,SJM
218,SWE
222,SYR
227,TJK
229,TKM
234,TUR
236,TWN
239,UKR
243,UZB
249,VNM
254,XCA
257,XPI
258,XSP
259,YEM
2,AFG
5,ALA
8,ARE
10,ARM
17,AZE
23,BGD
25,BHR
29,BLR
35,BRN
36,BTN
104,HUN
106,IMN
114,IRL
117,ISL
121,JEY
137,LIE
141,LUX
173,NLD
187,POL
62,CZE
63,DEU
80,FRO
83,GBR
85,GGY
95,GRL
211,SPM
216,SVK
217,SVN
16,AUT
19,BEL
40,CAN
42,CHE
123,JPN
150,MHL
157,MNP
186,PNG
189,PRK
81,FSM
98,GUM
242,USA
103,HTI
120,JAM
128,KIR
129,KNA
136,LCA
143,MAF
149,MEX
160,MSR
161,MTQ
167,NCL
169,NFK
171,NIC
172,NIU
176,NRU
177,NZL
181,PAN
183,PER
188,PRI
193,PYF
52,COK
53,COL
56,CRI
57,CUB
58,CUW
60,CYM
65,DMA
67,DOM
69,ECU
77,FJI
89,GLP
94,GRD
96,GTM
97,GUF
99,GUY
101,HND
206,SLB
208,SLV
215,SUR
220,SXM
223,TCA
228,TKL
231,TON
232,TTO
235,TUV
240,UMI
245,VCT
246,VEN
247,VGB
248,VIR
250,VUT
251,WLF
252,WSM
255,XCL
1,ABW
4,AIA
11,ASM
14,ATG
21,BES
26,BHS
28,BLM
30,BLZ
31,BMU
34,BRB
43,CHL
182,PCN
191,PRY
78,FLK
100,HMD
203,SGS
241,URY
9,ARG
12,ATA
32,BOL
37,BVT
