date,Windows,Darwin,Linux,other,total_all,clones_unique,views_unique
2025-09-30,6,0,,,,,
2025-10-31,24,16,,,,,
2025-11-30,24,38,,,,,
2025-12-31,4,4,,,,,
2026-01-31,5,2,,,,,
2026-02-28,16,12,,,,,
2026-03-12,83,74,1670,2093,3920,,
