system:index,Admin_Level_1,Centroid_lat,Centroid_lon,Cocoa_ETH,Cocoa_bnetd,Country,ESA_TC_2020,ESA_fire_2001,ESA_fire_2002,ESA_fire_2003,ESA_fire_2004,ESA_fire_2005,ESA_fire_2006,ESA_fire_2007,ESA_fire_2008,ESA_fire_2009,ESA_fire_2010,ESA_fire_2011,ESA_fire_2012,ESA_fire_2013,ESA_fire_2014,ESA_fire_2015,ESA_fire_2016,ESA_fire_2017,ESA_fire_2018,ESA_fire_2019,ESA_fire_2020,ESA_fire_before_2020,EUFO_2020,GFC_TC_2020,GFC_loss_after_2020,GFC_loss_before_2020,GFC_loss_year_2001,GFC_loss_year_2002,GFC_loss_year_2003,GFC_loss_year_2004,GFC_loss_year_2005,GFC_loss_year_2006,GFC_loss_year_2007,GFC_loss_year_2008,GFC_loss_year_2009,GFC_loss_year_2010,GFC_loss_year_2011,GFC_loss_year_2012,GFC_loss_year_2013,GFC_loss_year_2014,GFC_loss_year_2015,GFC_loss_year_2016,GFC_loss_year_2017,GFC_loss_year_2018,GFC_loss_year_2019,GFC_loss_year_2020,GFC_loss_year_2021,GFC_loss_year_2022,GFC_loss_year_2023,GLAD_Primary,Geometry_type,JAXA_FNF_2020,KBA,MODIS_fire_2000,MODIS_fire_2001,MODIS_fire_2002,MODIS_fire_2003,MODIS_fire_2004,MODIS_fire_2005,MODIS_fire_2006,MODIS_fire_2007,MODIS_fire_2008,MODIS_fire_2009,MODIS_fire_2010,MODIS_fire_2011,MODIS_fire_2012,MODIS_fire_2013,MODIS_fire_2014,MODIS_fire_2015,MODIS_fire_2016,MODIS_fire_2017,MODIS_fire_2018,MODIS_fire_2019,MODIS_fire_2020,MODIS_fire_2021,MODIS_fire_2022,MODIS_fire_2023,MODIS_fire_2024,MODIS_fire_after_2020,MODIS_fire_before_2020,Oil_palm_Descals,Oil_palm_FDaP,Plot_area_ha,RADD_after_2020,RADD_before_2020,RADD_year_2019,RADD_year_2020,RADD_year_2021,RADD_year_2022,RADD_year_2023,RADD_year_2024,Rubber_RBGE,TMF_def_2000,TMF_def_2001,TMF_def_2002,TMF_def_2003,TMF_def_2004,TMF_def_2005,TMF_def_2006,TMF_def_2007,TMF_def_2008,TMF_def_2009,TMF_def_2010,TMF_def_2011,TMF_def_2012,TMF_def_2013,TMF_def_2014,TMF_def_2015,TMF_def_2016,TMF_def_2017,TMF_def_2018,TMF_def_2019,TMF_def_2020,TMF_def_2021,TMF_def_2022,TMF_def_after_2020,TMF_def_before_2020,TMF_deg_2000,TMF_deg_2001,TMF_deg_2002,TMF_deg_2003,TMF_deg_2004,TMF_deg_2005,TMF_deg_2006,TMF_deg_2007,TMF_deg_2008,TMF_deg_2009,TMF_deg_2010,TMF_deg_2011,TMF_deg_2012,TMF_deg_2013,TMF_deg_2014,TMF_deg_2015,TMF_deg_2016,TMF_deg_2017,TMF_deg_2018,TMF_deg_2019,TMF_deg_2020,TMF_deg_2021,TMF_deg_2022,TMF_deg_after_2020,TMF_deg_before_2020,TMF_plant,TMF_undist,Unit,WDPA,water_flag,.geo
10,Montagnes,6.071467734582957,-7.507022320770948,0.0,0.784,CIV,3.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486,1.659,0.0,1.956,0.0,0.0,0.645,0.0,0.0,0.0,0.0,0.0,1.083,0.143,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,3.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,3.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.089,0.0,0.0,0.089,0.464,0.135,0.033,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Jinotega (Departamento),13.298333063910203,-85.92967279231101,0.0,0.0,NIC,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,Polygon,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.01,0.0,0.226,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Jinotega (Departamento),13.539724314287495,-85.62684809448668,0.0,0.0,NIC,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255,0.458,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,Polygon,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Jinotega (Departamento),13.166413216868746,-85.94446494180862,0.0,0.0,NIC,0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.463,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,Polygon,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Jinotega (Departamento),13.290698442076803,-85.85464952149805,0.0,0.0,NIC,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.269,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,Polygon,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Centre,4.232425591179579,12.596546066977634,0.0,0.0,CMR,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019,Polygon,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.982,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Centre,4.199724075851093,12.640106802855511,0.0,0.0,CMR,1.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006,0.521,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,Polygon,1.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006,0.006,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.01,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Centre,4.25841247772794,12.328070136882275,0.0,0.0,CMR,4.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242,4.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442,Polygon,4.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Centre,4.229365113376266,12.59232330536205,0.0,0.0,CMR,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.271,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,Polygon,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.124,0.0,0.309,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Gia Lai,13.78746006204295,108.0632224343439,0.0,0.0,VNM,4.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.222,1.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,4.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,??k L?k,12.939683605105985,108.10266595213659,0.0,0.0,VNM,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.894,1.699,0.0,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.017,0.523,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Gia Lai,13.661565715077202,108.04884242396339,0.0,0.0,VNM,4.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.524,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,5.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Gia Lai,13.736411367323834,108.04197676570567,0.0,0.0,VNM,6.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.722,6.764,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,??k Nông,12.277015834470724,107.5888369222964,0.0,0.0,VNM,5.737,0.0,6.204,5.727,4.987,6.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.204,0.0,4.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,2.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253,0.382,0.0,0.292,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,??k Nông,12.324584937725819,107.64892612189675,0.0,0.0,VNM,1.472,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979,0.0,4.594,0.0,1.598,0.11,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.804,0.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268,Polygon,4.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.001,0.0,0.0,0.088,0.854,0.349,0.0,0.025,0.0,0.1,0.192,0.262,1.108,0.663,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.518,0.524,0.175,0.0,0.0,0.0,0.071,0.087,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Gia Lai,13.721796915479885,108.1203580322176,0.0,0.0,VNM,5.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.648,3.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,1.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,??k L?k,12.913103824019576,108.1021974048398,0.0,0.0,VNM,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.919,4.119,0.0,1.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,1.836,0.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.578,0.0,0.0,5.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Northern Savonia,63.055630629471906,27.032601414978515,0.0,0.0,FIN,5.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296,0.826,0.0,4.432,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.313,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,4.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Gävleborgs län,61.6035665515731,15.88211242286438,0.0,0.0,SWE,3.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725,3.273,0.542,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.156,0.285,0.0,0.0,0.0,0.0,0.542,0.0,Polygon,3.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
