PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
185,c,0.4,CIV,58,0,0,100,71,71,100,18,-,0,0,0,0,-
186,f,0.4,CIV,8,0,0,100,100,13,100,0,-,0,0,0,0,-
187,d,0.4,CIV,0,0,0,79,82,0,87,0,-,0,0,0,0,-
188,7,0.4,CIV,0,0,0,87,90,0,100,0,-,0,0,0,0,-
189,d,0.4,CIV,100,0,0,100,100,100,15,0,-,0,0,0,0,True
190,2,0.4,CIV,10,0,0,100,82,100,49,15,-,0,0,0,95,-
191,8,0.4,CIV,80,0,0,100,80,95,95,30,-,0,0,0,0,-
192,d,0.4,CIV,50,0,45,100,60,98,100,23,-,0,0,0,100,-
193,4,0.4,CIV,7,0,0,100,100,42,55,0,-,0,0,0,0,-
194,0,0.4,CIV,100,0,0,100,100,100,100,10,-,0,0,0,100,True
195,c,0.4,CIV,8,0,0,100,20,10,97,13,-,0,0,0,0,True
196,1,0.4,CIV,100,0,0,100,100,100,100,40,-,0,0,0,63,-
197,d,0.4,CIV,34,0,0,100,100,0,68,7,-,0,0,0,0,-
198,b,0.4,CIV,66,0,0,95,100,88,100,46,-,0,34,0,0,-
199,5,0.4,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
200,d,0.4,CIV,100,0,0,100,100,100,100,56,-,0,0,0,10,-
201,a,0.4,CIV,0,0,0,100,100,7,98,0,-,0,0,0,0,-
202,1,0.4,CIV,0,0,0,0,100,0,26,0,-,0,0,0,0,-
203,d,0.4,CIV,100,0,0,100,90,100,100,48,-,0,0,0,0,-
204,5,0.4,CIV,0,0,0,74,100,0,43,0,-,0,0,0,0,-
205,d,0.4,CIV,0,0,0,100,12,29,74,10,-,0,0,0,17,-
206,e,0.4,CIV,76,0,0,100,76,100,100,86,-,0,0,0,0,-
207,3,0.4,CIV,86,0,0,100,100,86,17,59,-,0,0,0,0,-
208,9,0.4,CIV,95,0,0,100,100,100,100,50,-,0,0,0,0,-
209,1,0.4,CIV,5,0,0,100,32,12,60,61,-,0,0,0,0,-
210,e,0.4,CIV,63,0,0,100,86,86,100,2,-,0,0,0,0,-
211,c,0.4,CIV,0,0,0,100,95,91,100,67,-,0,0,0,0,-
212,b,0.4,CIV,21,0,0,100,98,21,67,0,-,0,0,0,0,-
213,1,0.4,CIV,33,0,0,100,86,58,19,42,-,0,0,0,100,-
214,d,0.4,CIV,100,0,0,100,91,100,100,2,-,0,0,0,0,True
215,0,0.4,CIV,35,0,0,100,100,54,35,16,-,0,0,0,0,-
216,6,0.4,CIV,79,0,0,100,98,100,100,19,-,0,0,0,0,-
217,4,0.4,CIV,5,0,0,84,100,41,77,9,-,0,0,0,18,-
218,5,0.4,CIV,0,0,0,32,100,2,61,0,-,0,0,0,0,-
219,8,0.4,CIV,100,0,0,96,100,100,100,100,-,0,0,0,0,-
220,6,0.4,CIV,50,0,0,100,52,100,98,39,-,0,0,0,0,True
221,2,0.4,CIV,100,0,0,100,100,100,65,0,-,0,0,0,0,True
222,4,0.4,CIV,71,0,0,100,100,64,73,24,-,0,0,0,67,True
223,0,0.4,CIV,0,0,0,98,71,42,100,0,-,0,0,0,29,-
224,1,0.5,CIV,35,0,0,100,83,0,78,0,-,0,0,0,0,-
225,4,0.5,CIV,46,0,0,100,0,100,100,83,-,0,0,0,39,-
226,1,0.5,CIV,0,0,0,0,93,0,44,0,-,0,0,0,0,-
227,1,0.5,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
228,2,0.5,CIV,100,0,0,100,79,100,100,98,-,0,0,0,0,True
229,4,0.5,CIV,100,0,0,100,100,100,100,47,-,0,0,0,100,-
230,5,0.5,CIV,100,0,15,100,100,100,100,41,-,0,0,0,0,-
231,f,0.5,CIV,27,0,0,100,79,14,100,42,-,0,0,0,6,-
232,4,0.5,CIV,56,0,0,100,100,100,100,54,-,0,0,0,54,-
233,d,0.5,CIV,0,0,0,100,2,13,100,60,-,0,0,0,0,-
234,f,0.5,CIV,0,0,0,8,0,0,0,0,-,0,0,0,0,-
235,b,0.5,CIV,100,0,0,100,100,100,100,79,-,0,0,0,100,-
236,c,0.5,CIV,37,0,0,90,55,51,100,6,-,0,0,0,0,-
237,9,0.5,CIV,8,0,0,100,84,8,88,2,-,0,0,0,0,-
238,b,0.5,CIV,88,0,0,100,100,98,100,66,-,0,0,0,0,-
239,2,0.5,CIV,8,0,0,54,56,14,76,0,-,0,0,0,0,-
240,4,0.5,CIV,100,0,20,100,100,100,100,64,-,0,0,0,60,True
241,f,0.5,CIV,100,0,0,100,100,100,94,72,-,0,0,0,0,-
242,4,0.5,CIV,100,0,10,100,98,100,100,84,-,0,0,0,0,True
243,2,0.5,CIV,98,0,8,100,80,100,100,62,-,0,0,0,2,-
244,d,0.5,CIV,90,0,0,92,100,80,100,10,-,0,0,0,0,-
245,d,0.5,CIV,86,0,35,100,90,100,78,65,-,0,0,0,0,-
246,1,0.5,CIV,100,0,0,100,100,100,100,27,-,0,0,0,100,True
247,5,0.5,CIV,100,0,0,100,63,100,100,65,-,0,0,0,0,True
248,3,0.5,CIV,0,0,0,78,29,0,23,0,-,0,0,0,0,-
249,f,0.5,CIV,0,0,0,88,100,4,27,4,-,0,0,0,0,-
250,c,0.5,CIV,0,0,0,94,100,79,0,0,-,0,0,0,0,-
251,5,0.5,CIV,73,0,0,100,100,100,100,0,-,27,0,0,60,True
252,5,0.5,CIV,85,0,0,100,85,100,100,50,-,0,0,0,0,True
253,6,0.5,CIV,60,0,0,100,60,100,100,0,-,0,0,0,0,True
254,2,0.5,CIV,100,0,0,100,100,100,100,88,-,0,0,0,0,True
255,4,0.5,CIV,85,0,0,100,100,100,100,0,-,0,0,0,0,-
256,5,0.5,CIV,0,0,0,0,77,0,0,0,-,0,0,0,0,-
257,1,0.5,CIV,0,0,0,100,100,0,8,0,-,0,0,0,0,-
258,1,0.5,CIV,36,0,0,100,56,62,91,27,-,0,0,0,0,-
259,a,0.5,CIV,0,0,0,74,64,0,15,0,-,0,0,0,0,-
260,1,0.5,CIV,100,0,0,100,66,100,36,0,-,0,0,0,0,True
261,f,0.5,CIV,100,0,0,100,79,100,100,0,-,0,0,0,0,True
262,2,0.5,CIV,25,0,0,100,68,32,100,2,-,0,0,0,100,-
263,7,0.5,CIV,0,0,0,4,96,0,36,0,-,0,0,0,0,-
264,a,0.5,CIV,24,0,0,100,28,100,22,67,-,0,0,0,0,-
265,f,0.5,CIV,91,0,0,100,74,100,4,81,-,0,0,0,91,-
266,f,0.5,CIV,11,0,0,100,100,11,43,13,-,0,0,0,0,-
267,6,0.5,CIV,83,0,2,100,100,93,98,69,-,0,0,0,100,-
268,9,0.5,CIV,100,0,11,100,58,100,17,72,-,0,0,0,100,-
269,0,0.5,CIV,100,0,0,100,43,100,100,94,-,0,0,0,100,True
270,2,0.5,CIV,37,0,0,100,78,46,74,11,-,0,0,0,83,-
271,8,0.5,CIV,7,0,0,100,40,36,67,0,-,0,0,0,0,-
272,9,0.5,CIV,51,0,0,100,100,82,98,11,-,0,0,0,64,-
273,7,0.5,CIV,100,0,0,100,100,100,100,4,-,0,0,0,0,-
274,7,0.5,CIV,100,0,31,100,98,100,100,54,-,0,0,0,4,True
275,e,0.5,CIV,95,0,0,76,95,100,100,60,-,0,0,0,16,-
276,6,0.5,CIV,11,0,0,100,98,22,89,0,-,0,0,0,45,-
277,e,0.6,CIV,5,0,0,100,75,70,100,36,-,0,0,0,0,-
278,2,0.6,CIV,25,0,0,100,96,27,87,0,-,0,0,0,0,-
279,4,0.6,CIV,66,0,0,100,79,87,82,55,-,0,0,0,34,-
280,9,0.6,CIV,50,0,0,100,50,86,98,0,-,0,0,0,0,True
281,7,0.6,CIV,52,0,0,100,100,25,100,29,-,0,0,0,100,True
282,8,0.6,CIV,52,0,0,100,87,75,95,16,-,0,0,0,61,-
283,f,0.6,CIV,41,0,0,100,70,77,98,45,-,0,0,0,77,True
284,0,0.6,CIV,0,0,0,100,95,14,4,11,-,0,0,0,45,-
285,3,0.6,CIV,98,0,0,100,100,41,100,12,-,0,0,0,0,-
286,a,0.6,CIV,97,0,0,100,97,100,98,12,-,0,0,0,0,-
287,8,0.6,CIV,12,0,0,100,42,44,100,2,-,0,0,0,0,-
288,0,0.6,CIV,100,0,0,100,93,100,100,68,-,0,0,0,0,-
289,b,0.6,CIV,0,0,0,16,86,0,11,0,-,0,0,0,0,-
290,3,0.6,CIV,0,0,0,100,100,0,45,17,-,0,0,0,100,True
291,0,0.6,CIV,60,0,7,100,7,100,100,58,-,0,0,0,96,True
292,6,0.6,CIV,91,0,0,100,100,81,63,39,-,0,0,0,89,-
293,c,0.6,CIV,19,0,0,100,70,100,100,53,-,0,0,0,100,-
294,4,0.6,CIV,31,0,0,100,100,10,88,0,-,0,0,0,0,-
295,1,0.6,CIV,31,0,0,100,100,100,98,0,-,69,0,0,0,True
296,c,0.6,CIV,14,0,0,100,33,78,100,26,-,0,0,0,0,-
297,d,0.6,CIV,0,0,0,97,0,4,100,5,-,0,0,0,12,-
298,0,0.6,CIV,0,0,0,100,36,7,98,10,-,0,0,0,0,-
299,9,0.6,CIV,93,0,0,100,93,98,100,88,-,0,0,0,0,-
300,3,0.6,CIV,75,0,0,100,85,91,76,24,-,0,0,0,0,-
301,0,0.6,CIV,83,0,0,95,100,100,100,0,-,0,0,0,0,-
302,d,0.6,CIV,95,0,0,100,100,100,100,39,-,0,0,0,100,True
303,0,0.6,CIV,92,0,0,100,100,95,63,5,-,0,0,0,78,True
304,e,0.6,CIV,100,0,0,100,100,100,100,86,-,0,0,0,27,True
305,1,0.6,CIV,0,0,0,100,90,76,83,34,-,0,0,0,88,-
306,b,0.6,CIV,0,0,0,19,90,0,0,0,-,0,0,0,0,-
307,a,0.6,CIV,0,0,0,100,35,78,100,38,-,0,0,0,0,-
308,d,0.6,CIV,3,0,0,100,7,90,77,23,-,0,0,0,0,-
309,9,0.6,CIV,67,0,0,100,87,65,100,20,-,0,0,0,0,-
310,f,0.6,CIV,100,0,0,100,85,100,100,15,-,0,0,0,0,True
311,3,0.6,CIV,36,0,0,100,41,80,90,0,-,0,0,0,0,True
312,0,0.6,CIV,100,0,61,100,100,100,95,39,-,0,0,0,0,True
313,9,0.6,CIV,100,0,0,100,100,100,100,100,-,0,0,0,44,True
314,7,0.6,CIV,75,0,0,100,87,80,98,61,-,0,0,0,43,-
315,7,0.6,CIV,98,0,0,100,100,98,48,72,-,0,0,0,16,-
316,1,0.6,CIV,82,0,0,100,100,92,98,24,-,0,0,0,0,-
317,7,0.6,CIV,6,0,0,100,40,26,84,11,-,0,0,0,16,True
318,3,0.6,CIV,84,0,0,100,100,82,97,3,-,0,0,0,0,-
319,c,0.6,CIV,63,0,2,100,79,100,48,44,-,0,0,0,0,True
320,8,0.6,CIV,100,0,53,100,100,100,98,47,-,0,0,0,0,-
321,3,0.6,CIV,81,0,13,100,90,97,81,6,-,0,0,0,6,-
322,c,0.6,CIV,0,0,0,90,49,0,68,0,-,0,0,0,0,-
323,0,0.6,CIV,100,0,0,62,100,100,92,0,-,0,0,0,14,True
324,e,0.6,CIV,100,0,2,100,100,100,95,57,-,0,0,0,100,True
325,b,0.6,CIV,100,0,0,100,100,97,100,63,-,0,0,0,0,-
326,b,0.6,CIV,100,0,11,100,100,100,100,89,-,0,0,0,14,-
327,3,0.6,CIV,100,0,0,100,83,100,79,40,-,0,0,0,54,-
328,8,0.6,CIV,48,0,0,100,100,48,100,19,-,0,0,0,80,-
329,8,0.6,CIV,23,0,0,100,64,61,48,27,-,0,0,0,5,-
330,1,0.6,CIV,100,0,0,100,81,100,100,97,-,0,0,0,86,True
331,e,0.6,CIV,100,0,0,100,100,100,100,81,-,0,0,0,77,-
332,c,0.6,CIV,0,0,0,100,100,0,14,0,-,0,0,0,0,-
333,3,0.6,CIV,0,0,0,94,85,3,100,0,-,0,0,0,0,-
334,0,0.6,CIV,100,0,0,100,100,100,100,83,-,0,0,0,0,True
335,8,0.6,CIV,26,0,0,100,100,51,46,26,-,0,0,0,39,True
336,e,0.7,CIV,0,0,0,76,51,20,94,0,-,0,0,0,0,True
337,4,0.7,CIV,0,0,0,100,92,44,42,20,-,0,0,0,0,-
338,7,0.7,CIV,0,0,0,88,88,0,24,0,-,0,0,0,0,-
339,f,0.7,CIV,45,0,0,100,89,54,66,16,-,0,0,0,0,-
340,2,0.7,CIV,0,0,0,97,100,6,45,0,-,0,0,0,0,-
341,a,0.7,CIV,100,0,12,100,100,100,100,72,-,0,0,0,100,True
342,5,0.7,CIV,37,0,0,100,91,79,100,71,-,0,0,0,78,-
343,3,0.7,CIV,59,0,0,100,24,100,94,69,-,0,0,0,0,-
344,4,0.7,CIV,12,0,0,96,46,21,47,0,-,0,0,0,100,-
345,9,0.7,CIV,100,0,49,100,77,100,100,51,-,0,0,0,10,-
346,a,0.7,CIV,100,0,0,100,100,100,96,29,-,0,0,0,59,-
347,3,0.7,CIV,0,0,0,74,59,0,34,0,-,0,0,0,0,-
348,a,0.7,CIV,34,0,6,100,78,97,100,53,-,0,0,0,0,-
349,9,0.7,CIV,52,0,0,100,57,76,24,0,-,0,0,0,0,-
350,2,0.7,CIV,100,0,0,100,100,100,100,85,-,0,0,0,9,True
351,4,0.7,CIV,100,0,0,100,100,100,80,27,-,0,0,0,100,-
352,8,0.7,CIV,0,0,0,56,28,7,17,0,-,0,0,0,0,-
353,e,0.7,CIV,0,0,0,100,89,100,64,37,-,0,0,0,99,True
354,3,0.7,CIV,40,0,0,100,66,100,100,0,-,41,0,0,30,True
355,0,0.7,CIV,0,0,0,100,29,10,77,0,-,0,0,0,0,-
356,e,0.7,CIV,0,0,0,34,100,0,0,0,-,0,0,0,0,-
357,f,0.7,CIV,51,0,0,100,51,93,100,0,-,0,0,0,0,-
358,0,0.7,CIV,8,0,0,100,68,30,0,0,-,28,0,0,0,-
359,1,0.7,CIV,100,0,90,100,100,100,100,10,-,0,0,0,0,True
360,0,0.7,CIV,100,0,0,100,94,100,97,92,-,0,0,0,0,-
361,b,0.7,CIV,75,0,10,100,74,99,99,87,-,0,0,0,0,-
362,f,0.7,CIV,100,0,0,100,88,99,90,6,-,0,0,0,0,-
363,e,0.7,CIV,49,0,0,92,49,83,100,42,-,0,0,0,32,-
364,f,0.7,CIV,17,0,0,100,100,29,81,6,-,0,0,0,0,-
365,b,0.7,CIV,17,0,0,100,22,54,94,1,-,44,0,0,0,-
366,2,0.7,CIV,100,0,0,100,94,100,65,57,-,0,0,0,15,True
367,0,0.7,CIV,74,0,0,100,83,81,100,17,-,0,0,0,0,True
