PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
444,8,0.8,CIV,100,0,0,100,100,100,80,78,-,0,0,0,21,-
445,0,0.8,CIV,21,0,0,33,35,0,38,0,-,0,0,0,0,-
446,1,0.8,CIV,89,0,0,100,89,81,67,27,-,0,0,0,100,-
447,f,0.8,CIV,5,0,0,63,62,4,23,0,-,0,0,0,0,-
448,c,0.8,CIV,71,0,0,100,83,81,83,0,-,0,0,0,0,-
449,3,0.8,CIV,45,0,0,100,74,89,100,62,-,0,0,0,54,-
450,a,0.8,CIV,39,0,13,100,100,49,94,23,-,0,0,0,18,-
451,b,0.8,CIV,4,0,0,86,92,7,99,0,-,0,0,0,0,-
452,f,0.8,CIV,5,0,0,100,70,89,100,84,-,0,0,0,0,True
453,b,0.8,CIV,40,0,0,100,46,90,58,76,-,0,0,0,19,True
454,3,0.8,CIV,28,0,0,100,83,37,6,0,-,0,0,0,78,True
455,4,0.8,CIV,60,0,36,100,67,81,98,34,-,0,0,0,0,-
456,c,0.8,CIV,90,0,0,100,91,98,48,27,-,0,0,0,100,-
457,5,0.8,CIV,100,0,10,100,100,100,100,90,-,0,0,0,0,-
458,7,0.8,CIV,0,0,0,98,21,0,62,0,-,0,0,0,0,-
459,b,0.8,CIV,99,0,48,100,58,100,100,52,-,0,0,0,0,True
460,3,0.8,CIV,8,0,0,100,64,76,100,55,-,0,0,0,63,-
461,f,0.8,CIV,1,0,0,84,100,0,83,0,-,0,0,0,1,-
462,1,0.8,CIV,52,0,0,100,62,86,92,46,-,0,0,0,0,-
463,3,0.8,CIV,9,0,0,48,100,9,98,6,-,0,0,0,0,-
464,7,0.8,CIV,51,0,0,100,100,48,99,5,-,0,0,0,0,-
465,f,0.8,CIV,0,0,0,71,69,0,100,0,-,0,0,0,0,-
466,5,0.8,CIV,100,0,0,100,100,93,86,40,-,0,0,0,0,-
467,4,0.8,CIV,100,0,4,100,100,100,100,94,-,0,0,0,0,-
468,5,0.8,CIV,100,0,0,100,100,100,98,45,-,0,0,0,0,-
469,f,0.8,CIV,100,0,0,100,100,100,100,49,-,0,0,0,22,True
470,1,0.8,CIV,8,0,5,98,66,13,100,0,-,0,0,0,22,-
471,b,0.9,CIV,100,0,0,100,100,100,100,98,-,0,0,0,0,-
472,6,0.9,CIV,9,0,0,100,84,6,100,2,-,0,8,0,0,-
473,2,0.8,CIV,0,0,0,100,5,5,3,0,-,3,0,0,0,-
474,c,0.9,CIV,28,0,0,100,68,56,96,7,-,0,0,0,46,True
475,8,0.9,CIV,6,0,0,95,82,100,88,13,-,0,0,0,0,-
476,3,0.8,CIV,100,0,0,100,76,95,88,3,-,0,0,0,0,-
