,Unnamed: 0,Geo_id,Area_ha,Country,GLAD_Primary,TMF_undist,JAXA_FNF_2020,GFC_TC_2020,ESA_TC_2020,TMF_disturbed,TMF_plant,Oil_palm_Descals,Oil_palm_FDaP,Cocoa_ETH,WDPA,KBA,Cocoa_bnetd,TMF_def_2000,TMF_def_2001,TMF_def_2002,TMF_def_2003,TMF_def_2004,TMF_def_2005,TMF_def_2006,TMF_def_2007,TMF_def_2008,TMF_def_2009,TMF_def_2010,TMF_def_2011,TMF_def_2012,TMF_def_2013,TMF_def_2014,TMF_def_2015,TMF_def_2016,TMF_def_2017,TMF_def_2018,TMF_def_2019,TMF_def_2020,TMF_def_2021,TMF_def_2022,TMF_deg_2000,TMF_deg_2001,TMF_deg_2002,TMF_deg_2003,TMF_deg_2004,TMF_deg_2005,TMF_deg_2006,TMF_deg_2007,TMF_deg_2008,TMF_deg_2009,TMF_deg_2010,TMF_deg_2011,TMF_deg_2012,TMF_deg_2013,TMF_deg_2014,TMF_deg_2015,TMF_deg_2016,TMF_deg_2017,TMF_deg_2018,TMF_deg_2019,TMF_deg_2020,TMF_deg_2021,TMF_deg_2022,GFC_loss_year_2001,GFC_loss_year_2002,GFC_loss_year_2003,GFC_loss_year_2004,GFC_loss_year_2005,GFC_loss_year_2006,GFC_loss_year_2007,GFC_loss_year_2008,GFC_loss_year_2009,GFC_loss_year_2010,GFC_loss_year_2011,GFC_loss_year_2012,GFC_loss_year_2013,GFC_loss_year_2014,GFC_loss_year_2015,GFC_loss_year_2016,GFC_loss_year_2017,GFC_loss_year_2018,GFC_loss_year_2019,GFC_loss_year_2020,GFC_loss_year_2021,GFC_loss_year_2022,GFC_loss_year_2023,RADD_year_2019,RADD_year_2020,RADD_year_2021,RADD_year_2022,RADD_year_2023,RADD_year_2024,MODIS_fire_2001,MODIS_fire_2002,MODIS_fire_2003,MODIS_fire_2004,MODIS_fire_2005,MODIS_fire_2006,MODIS_fire_2007,MODIS_fire_2008,MODIS_fire_2009,MODIS_fire_2010,MODIS_fire_2011,MODIS_fire_2012,MODIS_fire_2013,MODIS_fire_2014,MODIS_fire_2015,MODIS_fire_2016,MODIS_fire_2017,MODIS_fire_2018,MODIS_fire_2019,MODIS_fire_2020,MODIS_fire_2021,MODIS_fire_2022,MODIS_fire_2023,MODIS_fire_2024,system:index,random,count,label,Treecover_risk,Commodities_risk,Disturbance_pre_2020_risk,Disturbance_post_2020_risk,EUDR_risk
0,0,eb7183ae1c62b147e099de79265607bf1a53cb4ff717d50f8daee403284fd0a2,0.4,CIV,0,0.1187702811925551,0.3850543364251829,0.3850543364251829,0.3850543364251829,0.2662840552326277,0,0,0,0.2075187629370596,-,-,0.295376176443661,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0885547117973776,0,0.0,0,0.0,0.0,0.0295569999545228,0.0,0,0.0,0.0,0.0399000129490272,0.1082723305316999,0.0,0.0,0.0,0.0,0.0,0.0,0.0001549514112285,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000000000000007b6,0.0007334917016467,39,267000120,low,low,low,high,low
1,1,37485ae8d1dd2d047caa0fbc57a72e508e83b50bd3c4c14a990b52b2ff3f2a6c,0.7,CIV,0,0.2564384110394646,0.7019419997331208,0.3462830019782572,0.7019419997331208,0.4049398300859039,0,0,0,0.0202237673411649,-,-,0.0300644396553787,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0392464685447543,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266840948187135,0.0,0.0789966255307665,0.0,0.049474522298177,0,0,0.0992591433177274,0.0,0,0.0,0,0.0,0,0,0.0,0.1772482575450224,0.0,0.0,0.0,0.0,0.0001549713613472,0.0,0,0.0789966255307665,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000121,0.0004466116100118,71,-1815148569,low,low,low,high,low
2,2,375ba910a586a125ff451e960451990123b31ba0e54fcd73728b3a4a9d23ac65,3.1,CIV,0,2.5481154758617928,3.1420397995234475,2.844806672548781,3.0432977935970533,0.5939243236616547,0,0,0,0.8199962361593809,-,-,0.295683545331768,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.1690895200303021,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0303315255647547,0.2660107737552418,0.0,0.0,0.0,0.0,0.0,0.0,0.0889027015686035,0.0,0.0887864043291877,0,0,0.0,0.1586302667056812,0,0.0,0,0.0,0,0,0.0,0.0596171272457347,0.0789857330232508,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000df1,0.000588249864626,318,2016339340,high,low,low,high,high
3,3,146d51ab4e6a931f392efde0b270a3865e6d59a8eea559f51396001570ab7a6a,4.0,CIV,0,0.879860096698836,3.924153920279111,3.43118481397741,3.933956008881214,2.905825636306464,0,0,0,1.720085337554333,-,-,0.7314724120914234,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1584597494985543,0.0,0,0.0392469017986222,0,0,0,0,0.1874009726281259,0.0396731418325386,0.3450866029537425,0,0.0,0,0.0,0.0,0.0297161463958141,0.5140075550243901,0,0.0,0.5931210847443226,0.0,0.0,0.1778317475741517,0.0,0.0,0.088915608215332,0.0,0.0,0.0,0,0,0.0392081056482651,0.0,0,0.0,0,0.0,0,0,0.098253222506654,0.0,0.3253271323619169,0.0,0.0494751465831083,0.0,0.0,0.0,0,0.0596644977464862,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000029d,0.0009473190946596,405,1912978759,high,high,low,low,low
4,4,b98c8bc02d5057ad4f2a1ceea4fa235af0d1333703ffae68e29a7cf777502047,4.1,CIV,0,2.1560627470667217,4.108903623310163,3.515044081773945,4.108903623310163,1.952840876243441,0,0,0,1.351931433898327,-,-,0.20655324055092,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.8981884359561696,0.0,0.2661323578509162,0,0.0,0,0.0,0.0,0.0,0.0,0,0.029441112240062,0.0,0.0,0.0,0.0,0.0,0.266714158630371,0.0,0.1078091174286487,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.1778093536376953,0,0,0.0,0.2185228184569115,0.0202214371625114,0.0,0.0,0.0,0.0,0.0,0,0.1773059322791006,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000835,0.0004401338963947,416,-1068478278,high,high,low,low,low
5,5,3f5d8a8b34a6e500008bc7d32783bd7bdaa673bd64349b76274a20575c9e1e97,5.4,CIV,0,0.0,5.392016244420072,4.08972996523988,5.006714262438008,2.5173420573395373,0,0,0,0.1381695895206227,-,-,0.582930369648653,0,0,0,0,0,0.0888977622985839,0.1677247694576488,0.187634790463915,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.2475968208821615,0,0,0,0,0.2074281532287597,0.0,1.2140867244137037,0,0.1783766017988616,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1875186647482479,0.0,0,0.2763390148865943,0,0.078826687816545,0,0,0.0,0.2464734515739889,0.0,0.5030959560558843,0.0,0.0,0.0,0.0,0,0.0100325040989296,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000000000000009d2,0.0005609159019484,546,1374089199,high,low,high,low,low
6,6,326a2033a35144fcef36123bed53e12b3576dda199883f2f90fa9f7e238d17f8,11.2,CIV,0,2.064316217863793,10.654769121222404,7.086431185610902,10.901288084489412,8.154909288638247,0,0,0,0.158650896914613,-,-,1.2351469634531056,0,0,0,0,0,0.0,0.1187845186929141,0.0,0.1778278610229492,0,0,0,0,0,0,0,0.0,3.8742370605468754e-05,0,0.0,0,0,0,0,0.5232955166386623,1.6113012657584396,1.147050607467352,0,0.0889141456604003,0,0.1778274696350097,1.11710106204463,0.6134474167677936,0.2569407763522279,0,0.0,0.1779052135392731,0.4151250740829169,0.0693100826308306,0.0,0.0492028493365119,0.2953343816360773,0.0495518318266027,0.0,0.0197199823955461,0.0,0,0,0.059391993186801,0.0,0,0.08891411819458,0,0.0,0,0,0.0,0.0,0.0,3.893465577081419,0.0,3.8742370605468754e-05,0.0,0.0196811379406498,0,0.0297929566207586,0,0.0794608861676384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000000000000014d6,0.0003973073864534,1131,1362793446,high,high,high,high,low
