PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
36,84aa16d4a195967a3bb59b07c84526dd9607bc995f823ae2d622fbad138374ea,0.1,CIV,00000000000000000d63,100,0,100,100,100,100,100,0,-,0,0,0,0,-
37,2853fc7a509171cbc6619bb06a9286961f7a1eab68d88a42731b570b67d43d4d,0.1,CIV,00000000000000000dd6,100,0,0,100,50,100,100,100,-,0,0,0,0,-
38,56fdf5f7ba6b5d50d261651c5ec72a7e475e40139239a8832d6dc8c5d4ca9de2,0.1,CIV,00000000000000000e1a,100,0,100,100,100,100,100,0,-,0,0,0,83,-
39,c72130d84421fffe475423d90737f5a62cb81fc927ca63db4fd6a6258a972b50,0.1,CIV,00000000000000000e5f,100,0,0,100,100,100,100,100,-,0,0,0,33,-
40,20a9d78e1f8d27b1922a4aa26e1d67e5c2def7a688e135c46b48b05739e7649d,0.1,CIV,00000000000000001171,100,0,0,100,100,100,100,100,-,0,0,0,50,-
41,b1814ef99e0412a0fff3bc30dd5b5602c76dcd35af163dd9bf9d4e3f24a8b1ae,0.1,CIV,000000000000000000e4,0,0,0,100,57,0,86,0,-,0,0,0,0,-
42,766cd1c86f6e3cb8713f58071fb43bfe140b6fe327bba3a17a8119cf186924e3,0.1,CIV,0000000000000000025d,0,0,0,100,0,43,86,28,-,0,0,0,100,-
43,cd328471a2385f7dc1252b7fd223fa3d341ad4e90fa6304065a3c9fd7fa2212d,0.1,CIV,000000000000000004c3,100,0,43,100,85,100,100,57,-,0,0,0,100,-
44,a33f79e35db762570721197eac0bdf6d8082f882c888075bcc176e7e9a4def55,0.1,CIV,0000000000000000073b,100,0,15,100,86,100,100,85,-,0,0,0,0,-
45,9e5f118b21151db12f085359e9bfa08ca9f44c2be5e98204490e04e8ae107945,0.1,CIV,00000000000000000f5a,100,0,0,100,100,100,57,43,-,0,0,0,0,-
46,b1cde785da5b8f3fb6884189c343ef02bd6dc5087fd68330e41cb3bdb9e8d39d,0.1,CIV,0000000000000000001b,100,0,100,100,100,100,100,0,-,0,0,0,100,-
47,37581e9c6f06efdf8d5d3691badfd73e1362497b30b9703b0fd5c9974dc496cc,0.1,CIV,0000000000000000001c,100,0,100,100,100,100,100,0,-,0,0,0,0,-
48,1ba0fbae45a1ecdea2f62fe7b49268587d4364b65b1f697850867cc2d8191a67,0.1,CIV,00000000000000000199,100,0,38,100,100,100,100,62,-,0,0,0,0,-
49,b097ef7fbd1098a5d2520cd48f0002c1c8da3e2b896148d1907479e9e12159ff,0.1,CIV,00000000000000000469,100,0,50,100,100,100,100,50,-,0,0,0,100,-
50,e4493b14e6e55322245082a37c6e9cd8259870908fb367925097585bea513ea1,0.1,CIV,000000000000000007ff,100,0,50,100,100,100,100,50,-,0,0,0,0,-
51,036b745b9853862a235f90a61305a038307cb1a11a25b373d51017bcfc790747,0.1,CIV,00000000000000000884,100,0,37,100,100,100,100,63,-,0,0,0,100,-
52,53e4dd96516adb495b145d684f238f216e424ce1e521145895275a896f3acde7,0.1,CIV,00000000000000000a08,100,0,100,100,100,100,100,0,-,0,0,0,0,True
53,72171abc638cda2d5dfd7f963bd6dd2cbc2bedbb14eadb23f2d5ea2b57452832,0.1,CIV,00000000000000000b58,100,0,100,100,100,100,100,0,-,0,0,0,100,-
54,041046a6020f48e329326044bddaec7be21fc90b3adbd513e936400a63462490,0.1,CIV,00000000000000000d99,100,0,0,75,100,100,100,0,-,0,0,0,100,-
55,c658d8abc3afb23aef2485cf3737c35e266a5e02d764704078f40ddd87bf00da,0.1,CIV,00000000000000000edf,100,0,0,100,100,100,100,75,-,0,0,0,0,-
56,190e4910d832892b39c2bdaa6f2faecf6986346657e289f2ab1b712790413d75,0.1,CIV,000000000000000010a0,100,0,100,100,100,100,100,0,-,0,0,0,100,-
